n	Alt	Few	Many	None	Some	File:
2500	True	2	-	-1	True	data/smallworld-50-1

8	False	0	-	2	True	data/wall-n-1

80	False	0	-	2	False	data/wall-n-10

800	False	0	-	2	False	data/wall-n-100

8000	False	0	-	2	False	data/wall-n-1000

80000	False	0	-	2	False	data/wall-n-10000

16	False	0	-	2	False	data/wall-n-2

24	False	0	-	2	False	data/wall-n-3

32	False	0	-	2	False	data/wall-n-4

8	False	0	-	2	True	data/wall-p-1

62	False	0	-	2	True	data/wall-p-10

602	False	0	-	2	True	data/wall-p-100

6002	False	0	-	2	True	data/wall-p-1000

60002	False	0	-	2	True	data/wall-p-10000

14	False	0	-	2	True	data/wall-p-2

20	False	0	-	2	True	data/wall-p-3

26	False	0	-	2	True	data/wall-p-4

8	False	0	-	2	True	data/wall-z-1

71	False	0	-	2	False	data/wall-z-10

701	False	0	-	2	False	data/wall-z-100

7001	False	0	-	2	False	data/wall-z-1000

70001	False	0	-	2	False	data/wall-z-10000

15	False	0	-	2	False	data/wall-z-2

22	False	0	-	2	False	data/wall-z-3

29	False	0	-	2	False	data/wall-z-4

